id,name,city,code,country_id/id
l01n_do_postal_code_87,Cerros de Palmarejo,Santo Domingo,10805,base.do
l01n_do_postal_code_88,Cerros de Sabana Perdida,Santo Domingo,11404,base.do
l01n_do_postal_code_89,Cerros Del Ozama,Santo Domingo,11904,base.do
l01n_do_postal_code_90,Ceuta,Santo Domingo,11206,base.do
l01n_do_postal_code_91,Ciudad Agraria,Santo Domingo,10905,base.do
l01n_do_postal_code_92,Ciudad Codiana,Santo Domingo,10805,base.do
l01n_do_postal_code_93,Ciudad de Los Trabajadores,Santo Domingo,11802,base.do
l01n_do_postal_code_94,Ciudad Del Almirante I,Santo Domingo,11806,base.do
l01n_do_postal_code_95,Ciudad Del Almirante II,Santo Domingo,11806,base.do
l01n_do_postal_code_96,Ciudad Ganadera,Santo Domingo,10116,base.do
l01n_do_postal_code_97,Ciudad Moderna,Santo Domingo,10135,base.do
l01n_do_postal_code_98,Ciudad Nueva,Santo Domingo,10208,base.do
l01n_do_postal_code_99,Ciudad Universitaria,Santo Domingo,10105,base.do
l01n_do_postal_code_100,Colinas de Arroyo Hondo,Santo Domingo,10507,base.do
l01n_do_postal_code_101,Colinas de Canaan,Santo Domingo,11115,base.do
l01n_do_postal_code_102,Colinas Del Este,Santo Domingo,11517,base.do
l01n_do_postal_code_103,Colinas Del Norte,Santo Domingo,10701,base.do
l01n_do_postal_code_104,Colinas Del Ozama,Santo Domingo,11404,base.do
l01n_do_postal_code_105,Colinas Del Seminario,Santo Domingo,10606,base.do
l01n_do_postal_code_106,Colonia de Los Doctores,Santo Domingo,11203,base.do
l01n_do_postal_code_107,Constelación,Santo Domingo,10601,base.do
l01n_do_postal_code_108,Corales Del Sur,Santo Domingo,11704,base.do
l01n_do_postal_code_109,Costa Azul,Santo Domingo,11117,base.do
l01n_do_postal_code_110,Costa Brava,Santo Domingo,10118,base.do
l01n_do_postal_code_111,Costa Caribe,Santo Domingo,11102,base.do
l01n_do_postal_code_112,Costa Verde,Santo Domingo,11117,base.do
l01n_do_postal_code_113,Cristo Rey,Santo Domingo,10501,base.do
l01n_do_postal_code_114,Cruz Grande,Santo Domingo,11207,base.do
l01n_do_postal_code_115,Cuesta Brava,Santo Domingo,10505,base.do
l01n_do_postal_code_116,Cuesta Hermosa,Santo Domingo,10507,base.do
l01n_do_postal_code_117,Cuesta Hermosa III,Santo Domingo,10504,base.do
l01n_do_postal_code_118,Domingo Savio,Santo Domingo,10304,base.do
l01n_do_postal_code_119,Dominicanos Ausentes,Santo Domingo,11105,base.do
l01n_do_postal_code_120,Don Bosco,Santo Domingo,10201,base.do
l01n_do_postal_code_121,Don Bosco,Santo Domingo,10202,base.do
l01n_do_postal_code_122,Don Honorio,Santo Domingo,10607,base.do
l01n_do_postal_code_123,Duarte,Santo Domingo,11003,base.do
l01n_do_postal_code_124,Duarte,Santo Domingo,11512,base.do
l01n_do_postal_code_125,El Abanico de Herrera,Santo Domingo,10904,base.do
l01n_do_postal_code_126,El Brisal,Santo Domingo,11510,base.do
l01n_do_postal_code_127,El Cachón,Santo Domingo,11515,base.do
l01n_do_postal_code_128,El Cachón de la Rubia,Santo Domingo,11517,base.do
